3.2800,8.1210,17.3120,657.2000,0.1090,9.5700,10.4600,0.3540
2.7700,7.9720,16.0930,664.4000,0.1008,9.6050,3.2200,0.3438
2.4800,7.7550,14.5770,672.8000,0.0962,9.7130,1.4300,0.3497
2.4100,7.7030,14.3880,678.3000,0.1025,9.8120,4.1500,0.3439
2.3000,7.6540,14.0720,684.1000,0.0967,9.8190,1.5900,0.3421
3.2500,8.0810,17.0090,674.9000,0.1064,9.8200,1.0300,0.3199
3.5700,8.3410,18.5370,666.7000,0.0948,9.6150,0.4500,0.3008
2.8600,8.1380,17.0370,670.6000,0.0930,9.5120,1.4300,0.2786
2.5400,7.8490,15.4660,677.1000,0.0929,9.6910,2.2700,0.2864
2.6700,7.7970,15.5140,681.0000,0.0976,9.7960,1.4800,0.2814
2.7400,7.8090,15.6800,682.0000,0.0986,9.9260,2.6000,0.2731
3.3600,8.0350,17.2560,677.1000,0.0974,9.7210,5.7800,0.2537
3.8800,8.4070,19.7590,661.2000,0.1041,9.6830,11.3000,0.2521
3.1600,8.2300,18.1490,668.0000,0.0939,9.4890,6.2200,0.2341
3.1100,7.9490,16.7340,676.7000,0.0917,9.7760,1.4600,0.2302
2.9500,7.8120,15.8140,676.8000,0.0858,9.7980,1.2500,0.2328
2.9500,7.7830,15.7000,676.1000,0.0860,9.8120,1.1200,0.2164
3.7200,8.1120,17.9580,670.3000,0.0952,10.1800,5.8600,0.2921
4.1200,8.4100,19.3940,661.5000,0.0925,9.7230,6.1800,0.5466
3.3200,8.2840,18.2440,668.0000,0.0879,9.6710,4.4000,0.6244
2.9200,7.9860,16.7010,674.5000,0.0890,9.7890,6.9500,0.6503
2.7800,7.8460,16.0670,682.1000,0.0839,9.8640,3.7700,0.6561
2.9900,7.8630,16.5120,687.5000,0.0833,9.8860,1.5400,0.6527
3.8300,8.0690,17.9670,678.7000,0.1040,10.0010,14.9400,0.6567
4.5000,8.4700,20.6990,667.2000,0.0837,9.7420,1.6000,0.5970
3.5100,8.3210,19.1230,675.8000,0.0821,9.6830,2.1500,0.5665
3.1800,8.0580,17.4840,683.4000,0.0821,9.6830,1.6900,0.5665
3.0300,7.9090,16.6860,689.1000,0.0789,9.9800,1.9200,0.5672
3.0000,7.9010,16.6590,692.9000,0.0816,9.8830,1.6700,0.5627
4.0800,8.2440,16.1620,689.2000,0.0857,10.0100,3.4800,0.6206
4.7000,8.5850,17.6750,678.3000,0.0872,9.9580,0.9600,0.8666
3.6700,8.3990,17.4460,685.1000,0.0808,9.9840,1.4400,0.8667
3.2500,8.1440,16.2830,689.7000,0.0805,9.8890,2.7900,0.8641
3.5200,8.1520,16.5110,696.2000,0.0911,10.3050,1.2700,0.8591
